,ID,Dept,Gender,Clin,Cert,Prate,Exper,Rank,Sal94,Sal95,dept_labels,Exper_bins,Prate_bins
227,228,6,1,1,1,2.5,5,2,247953,273737,Surgery,5,2
228,229,6,1,1,1,3.2,11,3,339533,387205,Surgery,15,3
229,230,6,1,1,1,2.4,22,3,393408,435572,Surgery,25,2
230,231,6,1,1,1,2.5,5,1,206097,220899,Surgery,5,2
231,232,6,1,1,1,2.4,27,3,419129,472589,Surgery,30,2
232,233,6,1,1,1,1.9,5,1,250667,270417,Surgery,5,1
233,234,6,1,1,1,2.9,6,1,212780,237094,Surgery,10,2
234,235,6,1,1,1,2.7,7,1,232735,261236,Surgery,10,2
235,236,6,1,0,1,4.4,11,2,244940,269554,Surgery,15,4
236,237,6,1,1,1,2.2,13,2,287433,314926,Surgery,15,2
237,238,6,1,1,1,2.8,7,1,279661,317179,Surgery,10,2
238,239,6,1,1,1,2.7,12,3,428876,462342,Surgery,15,2
239,240,6,1,1,1,2.4,10,2,326460,364139,Surgery,10,2
240,241,6,1,1,1,3.2,10,3,366150,408898,Surgery,10,3
241,242,6,1,1,1,2.3,8,3,299582,339637,Surgery,10,2
242,243,6,1,1,1,2.1,5,2,259576,280168,Surgery,5,2
243,244,6,1,1,1,1.9,12,1,316754,349294,Surgery,15,1
244,245,6,1,1,1,2.5,7,1,220374,239614,Surgery,10,2
245,246,6,1,1,1,1.3,7,1,262328,295619,Surgery,10,1
246,247,6,1,1,1,2.5,14,1,337885,376651,Surgery,15,2
247,248,6,1,1,1,2.9,14,2,355982,389994,Surgery,15,2
248,249,6,1,1,0,3.1,16,2,298359,320315,Surgery,20,3
249,250,6,1,1,1,3.0,6,1,247576,271773,Surgery,10,2
250,251,6,1,1,1,3.3,15,1,251079,275246,Surgery,15,3
251,252,6,1,1,0,2.4,2,1,154310,171664,Surgery,5,2
252,253,6,1,1,1,3.2,25,3,411219,455468,Surgery,25,3
253,254,6,1,1,1,3.0,15,1,266880,297902,Surgery,15,2
254,255,6,1,1,1,2.9,5,1,223736,248014,Surgery,5,2
255,256,6,1,1,1,2.7,10,3,322698,356961,Surgery,10,2
256,257,6,0,1,1,2.9,8,2,297174,323699,Surgery,10,2
257,258,6,0,1,1,2.6,9,3,308081,339664,Surgery,10,2
258,259,6,0,1,1,2.8,8,1,211269,241577,Surgery,10,2
259,260,6,0,1,1,2.4,2,1,210801,233905,Surgery,5,2
260,261,6,0,1,1,3.2,5,1,244551,265502,Surgery,5,3
